Image,Question
image_62.png,"In 89.76, which digit is in the tenths place? (1) 6 (2) 7 (3) 8 (4) 9"
image_63.png,Express 30 litre 35 ml in ml.  (1) 30350mI (2) 30035 ml (3) 3350 ml (4) 3.035 ml
image_64.png,What is the sum of the first two common multiples of 4 and 6? (1) 24 (2) 36 (3) 48 (4) 60
image_65.png,Express 12 tenths as a decimal.  (1) 0.012 (2) 0.12 (3) 1.2 (4) 12.0
image_66.png,"Find the average of 108, 305 and 79.  (1) 123 (2) 164 (3) 246 (4) 492"
image_67.png,Round 51 872 to the nearest thousand.  (1) 50000 (2) 51000 (3) 51 900 (4) 52000
image_68.png,Ken bought a car for $119 815.  What is this amount when rounded off to the nearest $1000? () $119 000 (2) $119 800 (3) $119 900 (4) $120 000
image_69.png,"A machine can print 4 posters in 20 seconds.  At this rate, how many posters can it print in 1 minute? (1) 80 (2) 20 (3) 12 (4) 5"
image_70.png,Which of the following is the same as 20 km 57 m? (1) 2057 m (2) 2570 m (3) 20 057 m (4) 20 570m
image_71.png,Express 4080 g in kg.  (1) 4.008 kg (2) 4.08 kg (3) 40.08 kg (4) 40.8kg
image_72.png,Find the area of a triangle whose height is 25 cm and base is 20 cm.  (1) 250  (2) 500  (3) 750 (4) 900 
image_73.png,"In 178.234, which digit is in the hundredths place? (1) 1 (2) 2 3) 3 (4) 4"
image_74.png,Which one of the following is not a common factor of 16 and 72? (1) 8 (2) 2 (3) 3 (4) 4
image_75.png,The mass of a can of soft drink which is completely filled with drink weighs approximately (1) 30g (2) 300g (3) 3kg (4) 30 kg
image_76.png,Mrs. Poh exchanged a $10 note for 20 coins.  All the coins had the same value.  What was the value of each coin? (1) 5 cents (2) 10 cents (3) 20 cents (4) 50 cents 
image_77.png,"5 hundreds, 9 tenths and 3 thousandths is (1) 590.003 (2) 500.903 (3) 500.390 (4) 500.093"
image_78.png,"In the numeral 824 031, the value of the digit 4 is ______. (1) 40 (2) 400 (3) 4000 (4) 40000"
image_79.png,Judy has a ribbon measuring 90.8 cm.  She wants to cut it into pieces of 5 cm each.  What is the maximum number of pieces she can cut from it? (1) 18 (2) 19 (3) 450 (4) 453
image_80.png,Marilyn paid $4 for 20 packets of tissue paper. How much did each packet of tissue paper cost? (1) $0.50 (2) $0.20 (3) $0.05 (4) $0.02
